lang,tid,sportid,brandid,translatedtext,objecttype,basetid,original,version
de,daznbetde_CN_U-3157,BKB,daznbetde,U22 Catarinense ,competition,CN_U-3157,U22 Catarinense - Brazil,1
de,daznbetde_CN_U-3190,BKB,daznbetde,1st League ,competition,CN_U-3190,1st League - Togo,1
de,daznbetde_CN_U-3225,BKB,daznbetde,Club Friendly Games ,competition,CN_U-3225,Club Friendly Games - International,1
de,daznbetde_CN_U-3245,BKB,daznbetde,Super Division B ,competition,CN_U-3245,Super Division B - Algeria,1
de,daznbetde_CN_U-3297,BKB,daznbetde,Liga de Basquetbol Estatal Chihuahua ,competition,CN_U-3297,Liga de Basquetbol Estatal Chihuahua - Mexico,1
de,daznbetde_CN_U-3304,BKB,daznbetde,"Cup, Women ",competition,CN_U-3304,"Cup, Women - Algeria",1
de,daznbetde_CN_U-3507,BKB,daznbetde,"Division A, Women ",competition,CN_U-3507,"Division A, Women - Bulgaria",1
de,daznbetde_CN_U-3556,BKB,daznbetde,Second Division ,competition,CN_U-3556,Second Division - North Macedonia,1
de,daznbetde_CN_U-3607,BKB,daznbetde,"Liga Artzit, Women ",competition,CN_U-3607,"Liga Artzit, Women - Israel",1
de,daznbetde_CN_U-3621,BKB,daznbetde,Luisa Amanda Espinoza in Memorian ,competition,CN_U-3621,Luisa Amanda Espinoza in Memorian - Nicaragua,1
de,daznbetde_CN_U-3772,BKB,daznbetde,Liga Profesional ,competition,CN_U-3772,Liga Profesional - Colombia,1
de,daznbetde_CN_U-3920,BKB,daznbetde,Portugal Cup ,competition,CN_U-3920,Portugal Cup - Portugal,1
de,daznbetde_CN_U-3934,BKB,daznbetde,"Federation Cup, Women ",competition,CN_U-3934,"Federation Cup, Women - Romania",1
de,daznbetde_CN_U-3958,BKB,daznbetde,WNBA Preseason ,competition,CN_U-3958,WNBA Preseason - USA,1
de,daznbetde_CN_U-3969,BKB,daznbetde,Cup ,competition,CN_U-3969,Cup - Morocco,1
de,daznbetde_CN_U-4014,BKB,daznbetde,Pinoy Liga Cup ,competition,CN_U-4014,Pinoy Liga Cup - Philippines,1
de,daznbetde_CN_U-4020,BKB,daznbetde,Primera Division ,competition,CN_U-4020,Primera Division - Guatemala,1
de,daznbetde_CN_U-4027,BKB,daznbetde,WBBL ,competition,CN_U-4027,WBBL - England,1
de,daznbetde_CN_U-4105,BKB,daznbetde,U21 League ,competition,CN_U-4105,U21 League - Portugal,1
de,daznbetde_CN_U-4167,BKB,daznbetde,BNXT Dutch League ,competition,CN_U-4167,BNXT Dutch League - Netherlands,1
de,daznbetde_CN_U-4171,BKB,daznbetde,BNXT Belgian League ,competition,CN_U-4171,BNXT Belgian League - Belgium,1
de,daznbetde_CN_U-4173,BKB,daznbetde,Group A ,competition,CN_U-4173,Group A - Albania,1
de,daznbetde_CN_U-4200,BKB,daznbetde,Liga Femenina ,competition,CN_U-4200,Liga Femenina - Uruguay,1
de,daznbetde_CN_U-4201,BKB,daznbetde,"Liga Sudamericana, Women ",competition,CN_U-4201,"Liga Sudamericana, Women - International",1
de,daznbetde_CN_U-4235,BKB,daznbetde,SEA Games ,competition,CN_U-4235,SEA Games - International,1
de,daznbetde_CN_U-4236,BKB,daznbetde,"SEA Games, Women ",competition,CN_U-4236,"SEA Games, Women - International",1
de,daznbetde_CN_U-4237,BKB,daznbetde,Filoil Flying V Preseason Premier Cup ,competition,CN_U-4237,Filoil Flying V Preseason Premier Cup - Philippines,1
de,daznbetde_CN_U-4259,BKB,daznbetde,"LMBPF, Women ",competition,CN_U-4259,"LMBPF, Women - Mexico",1
de,daznbetde_CN_U-4264,BKB,daznbetde,Cup ,competition,CN_U-4264,Cup - Algeria,1
de,daznbetde_CN_U-4274,BKB,daznbetde,LNB ,competition,CN_U-4274,LNB - Dominican Republic,1
de,daznbetde_CN_U-4284,BKB,daznbetde,"LNBP, Women ",competition,CN_U-4284,"LNBP, Women - Mexico",1
de,daznbetde_CN_U-4285,BKB,daznbetde,A EKASK ,competition,CN_U-4285,A EKASK - Greece,1
de,daznbetde_CN_U-4302,BKB,daznbetde,LNB Segunda ,competition,CN_U-4302,LNB Segunda - El Salvador,1
de,daznbetde_CN_U-4307,BKB,daznbetde,"Vysshaya Liga, Playoffs ",competition,CN_U-4307,"Vysshaya Liga, Playoffs - Belarus",1
de,daznbetde_CN_U-4316,BKB,daznbetde,Liga Femenina ,competition,CN_U-4316,Liga Femenina - Chile,1
de,daznbetde_CN_U-4335,BKB,daznbetde,U21 League ,competition,CN_U-4335,U21 League - El Salvador,1
de,daznbetde_CN_U-4366,BKB,daznbetde,Campeonato Estadual Da Divisao Especial ,competition,CN_U-4366,Campeonato Estadual Da Divisao Especial - Brazil,1
de,daznbetde_CN_U-4392,BKB,daznbetde,"National League, Women ",competition,CN_U-4392,"National League, Women - Israel",1
de,daznbetde_CN_U-4467,BKB,daznbetde,European Championship Qualification ,competition,CN_U-4467,European Championship Qualification - International,1
de,daznbetde_CN_U-4471,BKB,daznbetde,MPBL ,competition,CN_U-4471,MPBL - Philippines,1
de,daznbetde_CN_U-4495,BKB,daznbetde,"International Friendly Games, Women ",competition,CN_U-4495,"International Friendly Games, Women - International",1
de,daznbetde_CN_U-4522,BKB,daznbetde,U19 World Championship Women ,competition,CN_U-4522,U19 World Championship Women - International,1
de,daznbetde_CN_U-4534,BKB,daznbetde,WNBA Commissioner’s Cup ,competition,CN_U-4534,WNBA Commissioner’s Cup - USA,1
de,daznbetde_CN_U-4547,BKB,daznbetde,Copa Sao Paulo ,competition,CN_U-4547,Copa Sao Paulo - Brazil,1
de,daznbetde_CN_U-4549,BKB,daznbetde,Presidents Cup ,competition,CN_U-4549,Presidents Cup - United Arab Emirates,1
de,daznbetde_CN_U-4674,BKB,daznbetde,2nd Division ,competition,CN_U-4674,2nd Division - Morocco,1
de,daznbetde_CN_U-4700,BKB,daznbetde,IBL ,competition,CN_U-4700,IBL - Indonesia,1
de,daznbetde_CN_U-4704,BKB,daznbetde,FIBA World Cup ,competition,CN_U-4704,FIBA World Cup - International,1
de,daznbetde_CN_U-4717,BKB,daznbetde,U19 Campeonato Interclubes ,competition,CN_U-4717,U19 Campeonato Interclubes - Brazil,1
de,daznbetde_CN_U-4736,BKB,daznbetde,PBA On Tour ,competition,CN_U-4736,PBA On Tour - Philippines,1
de,daznbetde_CN_U-4745,BKB,daznbetde,Circuito Capixaba de Basquete ,competition,CN_U-4745,Circuito Capixaba de Basquete - Brazil,1
de,daznbetde_CN_U-4753,BKB,daznbetde,"Copa Espirito Santo, Women ",competition,CN_U-4753,"Copa Espirito Santo, Women - Brazil",1
de,daznbetde_CN_U-4830,BKB,daznbetde,"Copa Sao Paulo, Women ",competition,CN_U-4830,"Copa Sao Paulo, Women - Brazil",1
de,daznbetde_CN_U-4876,BKB,daznbetde,European Ch.ship Women ,competition,CN_U-4876,European Ch.ship Women - International,1
de,daznbetde_CN_U-4883,BKB,daznbetde,Trophee du Futur ,competition,CN_U-4883,Trophee du Futur - France,1
de,daznbetde_CN_U-4905,BKB,daznbetde,College ,competition,CN_U-4905,College - Republic of Korea,1
de,daznbetde_CN_U-4939,BKB,daznbetde,"Liga Superior, Women ",competition,CN_U-4939,"Liga Superior, Women - Costa Rica",1
de,daznbetde_CN_U-4971,BKB,daznbetde,"LN Maxibaloncesto, Women ",competition,CN_U-4971,"LN Maxibaloncesto, Women - Guatemala",1
de,daznbetde_CN_U-4972,BKB,daznbetde,CIBABAJ ,competition,CN_U-4972,CIBABAJ - Mexico,1
de,daznbetde_CN_U-4991,BKB,daznbetde,Asia Cup Women ,competition,CN_U-4991,Asia Cup Women - International,1
de,daznbetde_CN_U-5089,BKB,daznbetde,Emir Cup ,competition,CN_U-5089,Emir Cup - Qatar,1
de,daznbetde_CN_U-5157,BKB,daznbetde,"Cup, Women ",competition,CN_U-5157,"Cup, Women - Tunisia",1
de,daznbetde_CN_U-5221,BKB,daznbetde,U18 EC Div. B ,competition,CN_U-5221,U18 EC Div. B - International,1
de,daznbetde_CN_U-5243,BKB,daznbetde,Cup ,competition,CN_U-5243,Cup - Syria,1
de,daznbetde_CN_U-5245,BKB,daznbetde,Copa Santa Catarina ,competition,CN_U-5245,Copa Santa Catarina - Brazil,1
de,daznbetde_CN_U-5265,BKB,daznbetde,U20 International Friendly Games ,competition,CN_U-5265,U20 International Friendly Games - International,1
de,daznbetde_CN_U-5320,BKB,daznbetde,NBA Draft ,competition,CN_U-5320,NBA Draft - USA,1
de,daznbetde_CN_U-5326,BKB,daznbetde,El Metro ,competition,CN_U-5326,El Metro - Uruguay,1
de,daznbetde_CN_U-5384,BKB,daznbetde,CIBAPAC ,competition,CN_U-5384,CIBAPAC - Mexico,1
de,daznbetde_CN_U-5438,BKB,daznbetde,Liga National  Maxibaloncesto ,competition,CN_U-5438,Liga National  Maxibaloncesto - Guatemala,1
de,daznbetde_CN_U-5439,BKB,daznbetde,"Primera Division, Women ",competition,CN_U-5439,"Primera Division, Women - Guatemala",1
de,daznbetde_CN_U-5442,BKB,daznbetde,"FIBA AmeriCup, Women ",competition,CN_U-5442,"FIBA AmeriCup, Women - International",1
de,daznbetde_CN_U-5568,BKB,daznbetde,PBA on Tour ,competition,CN_U-5568,PBA on Tour - Philippines,1
de,daznbetde_CN_U-5585,BKB,daznbetde,NBL ,competition,CN_U-5585,NBL - Australia,1
de,daznbetde_CN_U-5614,BKB,daznbetde,Liga Nacional de Desarrollo U22 ,competition,CN_U-5614,Liga Nacional de Desarrollo U22 - Dominican Republic,1
de,daznbetde_CN_U-5618,BKB,daznbetde,VBA ,competition,CN_U-5618,VBA - Vietnam,1
de,daznbetde_CN_U-5634,BKB,daznbetde,U19 World Championship ,competition,CN_U-5634,U19 World Championship - International,1
de,daznbetde_CN_U-5676,BKB,daznbetde,U20 EC Div. B Women ,competition,CN_U-5676,U20 EC Div. B Women - International,1
de,daznbetde_CN_U-5677,BKB,daznbetde,U18 EC Div. A Women ,competition,CN_U-5677,U18 EC Div. A Women - International,1
de,daznbetde_CN_U-5678,BKB,daznbetde,U20 EC Div. A Women ,competition,CN_U-5678,U20 EC Div. A Women - International,1
de,daznbetde_CN_U-5679,BKB,daznbetde,U18 EC Div. B Women ,competition,CN_U-5679,U18 EC Div. B Women - International,1
de,daznbetde_CN_U-5710,BKB,daznbetde,Pre,competition,CN_U-5710,Pre-Federal - Argentina,1
de,daznbetde_CN_U-5802,BKB,daznbetde,Americup Qualification ,competition,CN_U-5802,Americup Qualification - International,1
de,daznbetde_CN_U-5858,BKB,daznbetde,Fiba Afrocan ,competition,CN_U-5858,Fiba Afrocan - International,1
de,daznbetde_CN_U-5882,BKB,daznbetde,Central American and Caribbean Games ,competition,CN_U-5882,Central American and Caribbean Games - International,1
de,daznbetde_CN_U-5883,BKB,daznbetde,"Central American and Caribbean Games, Women ",competition,CN_U-5883,"Central American and Caribbean Games, Women - International",1
de,daznbetde_CN_U-5892,BKB,daznbetde,"U20 Nordic Championship, Women ",competition,CN_U-5892,"U20 Nordic Championship, Women - International",1
de,daznbetde_CN_U-5893,BKB,daznbetde,U20 Nordic Championship ,competition,CN_U-5893,U20 Nordic Championship - International,1
de,daznbetde_CN_U-5894,BKB,daznbetde,TBL ,competition,CN_U-5894,TBL - Thailand,1
de,daznbetde_CN_U-5910,BKB,daznbetde,"Olympic Games, QF ",competition,CN_U-5910,"Olympic Games, QF - International",1
de,daznbetde_CN_U-6016,BKB,daznbetde,NBA Summer League ,competition,CN_U-6016,NBA Summer League - USA,1
de,daznbetde_CN_U-6081,BKB,daznbetde,"U19 Friendlies, Women ",competition,CN_U-6081,"U19 Friendlies, Women - International",1
de,daznbetde_CN_U-6083,BKB,daznbetde,NBL ,competition,CN_U-6083,NBL - China,1
de,daznbetde_CN_U-6105,BKB,daznbetde,U20 EC Div. A ,competition,CN_U-6105,U20 EC Div. A - International,1
de,daznbetde_CN_U-6106,BKB,daznbetde,U20 EC Div. B ,competition,CN_U-6106,U20 EC Div. B - International,1
de,daznbetde_CN_U-6218,BKB,daznbetde,"Arab Nations Championship, Women ",competition,CN_U-6218,"Arab Nations Championship, Women - International",1
de,daznbetde_CN_U-6219,BKB,daznbetde,"Cup, Women ",competition,CN_U-6219,"Cup, Women - Senegal",1
de,daznbetde_CN_U-6249,BKB,daznbetde,WNBA All Star Game ,competition,CN_U-6249,WNBA All Star Game - USA,1
de,daznbetde_CN_U-6287,BKB,daznbetde,"U18 European Championship, Div. A ",competition,CN_U-6287,"U18 European Championship, Div. A - International",1
de,daznbetde_CN_U-6327,BKB,daznbetde,"U20 International Friendly Games, Women ",competition,CN_U-6327,"U20 International Friendly Games, Women - International",1
de,daznbetde_CN_U-6336,BKB,daznbetde,"National University Basketball League, Mbc Cup ",competition,CN_U-6336,"National University Basketball League, Mbc Cup - Republic of Korea",1
de,daznbetde_CN_U-6347,BKB,daznbetde,The Basketball Tournament ,competition,CN_U-6347,The Basketball Tournament - USA,1
de,daznbetde_CN_U-6381,BKB,daznbetde,"FIBA Africa Championship, Women ",competition,CN_U-6381,"FIBA Africa Championship, Women - International",1
de,daznbetde_CN_U-6388,BKB,daznbetde,LNCF ,competition,CN_U-6388,LNCF - Paraguay,1
