brandid,sportid,lang,objecttype,pattern,recordtype,version,description
daznbetde,FBL,de,TOTALS-OU-2HLF-GL,"{""langdescription"": [{""desc"": ""$period$ Total Over/Under $line$ Goals"", ""pluralcount"": ""One""}, {""desc"": ""$period$ Total Over/Under $line$ Goals"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ Total Over/Under $line$ Goals"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ Total Over/Under $line$ Goals"", ""pluralcount"": ""Other""}]}",mar,0,$period$ Total Over/Under $line$ Goals
daznbetde,FBL,de,TOTALS-OU-2-FLGM-GL,"{""langdescription"": [{""desc"": ""Total Away Over/Under $line$ Goals"", ""pluralcount"": ""One""}, {""desc"": ""Total Away Over/Under $line$ Goals"", ""pluralcount"": ""Few""}, {""desc"": ""Total Away Over/Under $line$ Goals"", ""pluralcount"": ""Many""}, {""desc"": ""Total Away Over/Under $line$ Goals"", ""pluralcount"": ""Other""}]}",mar,0,Total Away Over/Under $line$ Goals
daznbetde,FBL,de,TOTALS-OU-C-2-FLGM-GL,"{""langdescription"": [{""desc"": ""Total Away Over/Under $line$ Goals"", ""pluralcount"": ""One""}, {""desc"": ""Total Away Over/Under $line$ Goals"", ""pluralcount"": ""Few""}, {""desc"": ""Total Away Over/Under $line$ Goals"", ""pluralcount"": ""Many""}, {""desc"": ""Total Away Over/Under $line$ Goals"", ""pluralcount"": ""Other""}]}",mar,0,Total Away Over/Under $line$ Goals
daznbetde,FBL,de,TOTALS-OU-1HLF-GL,"{""langdescription"": [{""desc"": ""$period$ Total Over/Under $line$ Goals"", ""pluralcount"": ""One""}, {""desc"": ""$period$ Total Over/Under $line$ Goals"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ Total Over/Under $line$ Goals"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ Total Over/Under $line$ Goals"", ""pluralcount"": ""Other""}]}",mar,0,$period$ Total Over/Under $line$ Goals
daznbetde,FBL,de,WINNER2D-REST-OT-GL,"{""langdescription"": [{""desc"": ""$period$ - Which Team Wins the Rest"", ""pluralcount"": ""One""}, {""desc"": ""$period$ - Which Team Wins the Rest"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ - Which Team Wins the Rest"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ - Which Team Wins the Rest"", ""pluralcount"": ""Other""}]}",mar,0,$period$ - Which Team Wins the Rest
daznbetde,FBL,de,WINNER-TS-25-A-FLGM-FOUL,"{""langdescription"":[{""desc"":""Away team FOULS"",""pluralcount"":""One""},{""desc"":""Away team FOULS"",""pluralcount"":""Few""},{""desc"":""Away team FOULS"",""pluralcount"":""Many""},{""desc"":""Away team FOULS"",""pluralcount"":""Other""}]}",mar,0,Away team FOULS
daznbetde,FBL,de,TOTALS-OU-12-H-FLGM-CORNER,"{""langdescription"":[{""desc"":""Home team CORNERS"",""pluralcount"":""One""},{""desc"":""Home team CORNERS"",""pluralcount"":""Few""},{""desc"":""Home team CORNERS"",""pluralcount"":""Many""},{""desc"":""Home team CORNERS"",""pluralcount"":""Other""}]}",mar,0,Home team CORNERS
daznbetde,FBL,de,WINNER-TS-9-H-FLGM-CARD,"{""langdescription"":[{""desc"":""Home team CARDS"",""pluralcount"":""One""},{""desc"":""Home team CARDS"",""pluralcount"":""Few""},{""desc"":""Home team CARDS"",""pluralcount"":""Many""},{""desc"":""Home team CARDS"",""pluralcount"":""Other""}]}",mar,0,Home team CARDS
daznbetde,FBL,de,TOTALS-OU-12-A-FLGM-CORNER,"{""langdescription"":[{""desc"":""Away team CORNERS"",""pluralcount"":""One""},{""desc"":""Away team CORNERS"",""pluralcount"":""Few""},{""desc"":""Away team CORNERS"",""pluralcount"":""Many""},{""desc"":""Away team CORNERS"",""pluralcount"":""Other""}]}",mar,0,Away team CORNERS
daznbetde,FBL,de,WINNER-TS-9-A-FLGM-CARD,"{""langdescription"":[{""desc"":""Away team CARDS"",""pluralcount"":""One""},{""desc"":""Away team CARDS"",""pluralcount"":""Few""},{""desc"":""Away team CARDS"",""pluralcount"":""Many""},{""desc"":""Away team CARDS"",""pluralcount"":""Other""}]}",mar,0,Away team CARDS
daznbetde,FBL,de,WINNER-TS-25-H-FLGM-FOUL,"{""langdescription"":[{""desc"":""Home team FOULS"",""pluralcount"":""One""},{""desc"":""Home team FOULS"",""pluralcount"":""Few""},{""desc"":""Home team FOULS"",""pluralcount"":""Many""},{""desc"":""Home team FOULS"",""pluralcount"":""Other""}]}",mar,0,Home team FOULS
daznbetde,FBL,de,WINNER-MS-50-FLGM-SHT,"{""langdescription"": [{""desc"": ""Total Match Shots"", ""pluralcount"": ""One""}, {""desc"": ""Total Match Shots"", ""pluralcount"": ""Few""}, {""desc"": ""Total Match Shots"", ""pluralcount"": ""Many""}, {""desc"": ""Total Match Shots"", ""pluralcount"": ""Other""}]}",mar,0,Total Match Shots
daznbetde,FBL,de,WINNER-MS-30-FLGM-SOG,"{""langdescription"": [{""desc"": ""Total Match Shots on Target"", ""pluralcount"": ""One""}, {""desc"": ""Total Match Shots on Target"", ""pluralcount"": ""Few""}, {""desc"": ""Total Match Shots on Target"", ""pluralcount"": ""Many""}, {""desc"": ""Total Match Shots on Target"", ""pluralcount"": ""Other""}]}",mar,0,Total Match Shots on Target
daznbetde,FBL,de,WINNER-MS-15-FLGM-CARD,"{""langdescription"": [{""desc"": ""Total Match Cards"", ""pluralcount"": ""One""}, {""desc"": ""Total Match Cards"", ""pluralcount"": ""Few""}, {""desc"": ""Total Match Cards"", ""pluralcount"": ""Many""}, {""desc"": ""Total Match Cards"", ""pluralcount"": ""Other""}]}",mar,0,Total Match Cards
daznbetde,FBL,de,TOTALS-B-2-FLGM-GL,"{""langdescription"":[{""desc"":""$period$ Total Away Bands $scoretype$ $variant$"",""pluralcount"":""One""},{""desc"":""$period$ Total Away Bands $scoretype$ $variant$"",""pluralcount"":""Few""},{""desc"":""$period$ Total Away Bands $scoretype$ $variant$"",""pluralcount"":""Many""},{""desc"":""$period$ Total Away Bands $scoretype$ $variant$"",""pluralcount"":""Other""}]}",mar,0,$period$ Total Away Bands $scoretype$ $variant$
daznbetde,FBL,de,WINNER2D-N-FLGM-CORNER,"{""langdescription"": [{""desc"": ""$period$ Who Will Score $scorenumber$. $scoretype$?"", ""pluralcount"": ""One""}, {""desc"": ""$period$ Who Will Score $scorenumber$. $scoretype$?"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ Who Will Score $scorenumber$. $scoretype$?"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ Who Will Score $scorenumber$. $scoretype$?"", ""pluralcount"": ""Other""}]}",mar,1,$period$ Who Will Score $scorenumber$. $scoretype$?
daznbetde,FBL,de,WINNER2D-N-FLGM-GL,"{""langdescription"": [{""desc"": ""$period$ Who Will Score $scorenumber$. $scoretype$?"", ""pluralcount"": ""One""}, {""desc"": ""$period$ Who Will Score $scorenumber$. $scoretype$?"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ Who Will Score $scorenumber$. $scoretype$?"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ Who Will Score $scorenumber$. $scoretype$?"", ""pluralcount"": ""Other""}]}",mar,1,$period$ Who Will Score $scorenumber$. $scoretype$?
daznbetde,FBL,de,WINNER2D-S-D-FLGM-CARD,"{""langdescription"": [{""desc"": ""First Carded Team"", ""pluralcount"": ""One""}, {""desc"": ""First Carded Team"", ""pluralcount"": ""Few""}, {""desc"": ""First Carded Team"", ""pluralcount"": ""Many""}, {""desc"": ""First Carded Team"", ""pluralcount"": ""Other""}]}",mar,0,First Carded Team
daznbetde,FBL,de,WINNER2D-E-FLGMOT-GL,"{""langdescription"": [{""desc"": ""Nachspielzeit - Nächster Treffer (inkl. reguläre Spielzeit)"", ""pluralcount"": ""One""}, {""desc"": ""Nachspielzeit - Nächster Treffer (inkl. reguläre Spielzeit)"", ""pluralcount"": ""Few""}, {""desc"": ""Nachspielzeit - Nächster Treffer (inkl. reguläre Spielzeit)"", ""pluralcount"": ""Many""}, {""desc"": ""Nachspielzeit - Nächster Treffer (inkl. reguläre Spielzeit)"", ""pluralcount"": ""Other""}]}",mar,1,Extra Time Next Team to Score (including normal time goals)
daznbetde,FBL,de,WHOSCORES2-G-1-1HLF-GL,"{""langdescription"": [{""desc"": ""$period$ - Heim gewinnt zu Null"", ""pluralcount"": ""One""}, {""desc"": ""$period$ - Heim gewinnt zu Null"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ - Heim gewinnt zu Null"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ - Heim gewinnt zu Null"", ""pluralcount"": ""Other""}]}",mar,1,$period$ Home Win To Nil
daznbetde,FBL,de,WHOSCORES1-G-12-FLGM-GL,"{""langdescription"": [{""desc"": ""$period$ - Unentschieden keine Wette & Über/Unter"", ""pluralcount"": ""One""}, {""desc"": ""$period$ - Unentschieden keine Wette & Über/Unter"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ - Unentschieden keine Wette & Über/Unter"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ - Unentschieden keine Wette & Über/Unter"", ""pluralcount"": ""Other""}]}",mar,1,$period$ No Draw Both Teams To Score
daznbetde,FBL,de,TOTALS-OU&&WHOSCORES2-G-12-FLGM-GL,"{""langdescription"": [{""desc"": ""Gesamt Tore & Beide Teams treffen"", ""pluralcount"": ""One""}, {""desc"": ""Gesamt Tore & Beide Teams treffen"", ""pluralcount"": ""Few""}, {""desc"": ""Gesamt Tore & Beide Teams treffen"", ""pluralcount"": ""Many""}, {""desc"": ""Gesamt Tore & Beide Teams treffen"", ""pluralcount"": ""Other""}]}",mar,1,Total Over/Under & Both Teams To Score
daznbetde,FBL,de,WINNER2D&&TOTALS-OU-2HLF-GL,"{""langdescription"": [{""desc"": ""$period$ - Tipp & $scoretype$ $line$ insgesamt Über/Unter"", ""pluralcount"": ""One""}, {""desc"": ""$period$ - Tipp & $scoretype$ $line$ insgesamt Über/Unter"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ - Tipp & $scoretype$ $line$ insgesamt Über/Unter"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ - Tipp & $scoretype$ $line$ insgesamt Über/Unter"", ""pluralcount"": ""Other""}]}",mar,1,$period$ - Match Betting & Total Over/Under $scoretype$ $line$
daznbetde,FBL,de,WHOSCORES2-G-1-2-FLGM-GL,"{""langdescription"": [{""desc"": ""Team erzielt ein Tor"", ""pluralcount"": ""One""}, {""desc"": ""Team erzielt ein Tor"", ""pluralcount"": ""Few""}, {""desc"": ""Team erzielt ein Tor"", ""pluralcount"": ""Many""}, {""desc"": ""Team erzielt ein Tor"", ""pluralcount"": ""Other""}]}",mar,1,Team To Score
daznbetde,FBL,de,WHOSCORES2-G-1-2HLF-GL,"{""langdescription"": [{""desc"": ""$period$ - Heim gewinnt zu Null"", ""pluralcount"": ""One""}, {""desc"": ""$period$ - Heim gewinnt zu Null"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ - Heim gewinnt zu Null"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ - Heim gewinnt zu Null"", ""pluralcount"": ""Other""}]}",mar,1,$period$ Home Win To Nil
daznbetde,FBL,de,WINNER2D-SCORE-FLGM-GL,"{""langdescription"": [{""desc"": ""Erstes Tor"", ""pluralcount"": ""One""}, {""desc"": ""Erstes Tor"", ""pluralcount"": ""Few""}, {""desc"": ""Erstes Tor"", ""pluralcount"": ""Many""}, {""desc"": ""Erstes Tor"", ""pluralcount"": ""Other""}]}",mar,1,First Team To Score
daznbetde,FBL,de,TOTALS-E-1-1HLF-GL,"{""langdescription"": [{""desc"": ""$period$ - Heim Genaue Anzahl $scoretype$"", ""pluralcount"": ""One""}, {""desc"": ""$period$ - Heim Genaue Anzahl $scoretype$"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ - Heim Genaue Anzahl $scoretype$"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ - Heim Genaue Anzahl $scoretype$"", ""pluralcount"": ""Other""}]}",mar,1,Home Team Half Time Exact Number Of $scoretype$s
daznbetde,FBL,de,WHOSCORES2-G-1N-2N-1HLF-GL,"{""langdescription"": [{""desc"": ""$period$ - Team ohne Gegentor"", ""pluralcount"": ""One""}, {""desc"": ""$period$ - Team ohne Gegentor"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ - Team ohne Gegentor"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ - Team ohne Gegentor"", ""pluralcount"": ""Other""}]}",mar,1,$period$ - Team Clean Sheet
daznbetde,FBL,de,WHOSCORES2-G-1N-2N-2HLF-GL,"{""langdescription"": [{""desc"": ""$period$ - Team ohne Gegentor"", ""pluralcount"": ""One""}, {""desc"": ""$period$ - Team ohne Gegentor"", ""pluralcount"": ""Few""}, {""desc"": ""$period$ - Team ohne Gegentor"", ""pluralcount"": ""Many""}, {""desc"": ""$period$ - Team ohne Gegentor"", ""pluralcount"": ""Other""}]}",mar,1,$period$ - Team Clean Sheet
